scenario,run,agents,observations,states,missing,RFN,KL,Inaccuracy
polar,0,300,150,8,0,0.878211034,12.14922556,0.219552758
polar,0,300,150,8,0.2,0.877170911,12.20810208,0.219292728
polar,0,300,150,8,0.4,0.872111665,11.94731796,0.218027916
polar,0,300,150,8,0.6,0.880784217,12.31275035,0.220196054
polar,0,300,150,8,0.8,0.839528291,11.08444033,0.209882073
polar,0,150,150,32,0,0.959388282,224.0320131,0.119923535
polar,0,150,150,32,0.2,0.993713201,246.6555718,0.12421415
polar,0,150,150,32,0.4,0.988010536,240.8273167,0.123501317
polar,0,150,150,32,0.6,1.182774134,312.5568345,0.147846767
polar,0,150,150,32,0.8,1.207941988,283.532147,0.150992749
polar,0,50,300,4,0,0.813005717,5.274355992,0.287440928
polar,0,50,300,4,0.2,0.810499982,5.279936849,0.286555017
polar,0,50,300,8,0,0.750141699,7.671424591,0.187535425
polar,0,50,300,4,0.4,0.800032636,5.205552538,0.282854251
polar,0,50,300,8,0.2,0.754081264,12.42700837,0.188520316
polar,0,50,300,4,0.6,0.812212768,5.262037188,0.287160578
polar,0,50,300,4,0.8,0.962821508,25.14088411,0.340408809
polar,0,50,300,8,0.4,0.773485585,13.16747974,0.193371396
polar,0,50,300,8,0.6,0.734257726,18.75781027,0.183564431
polar,0,50,300,8,0.8,0.812898129,49.66974489,0.203224532
polar,0,300,150,8,0,1.034601509,16.53823976,0.258650377
polar,0,300,150,8,0.2,1.030410122,16.5017751,0.25760253
polar,0,300,150,8,0.4,1.033718707,16.60554526,0.258429677
polar,0,300,150,8,0.6,1.037247399,17.42512315,0.25931185
polar,0,300,150,8,0.8,1.025921668,17.44794181,0.256480417
polar,0,150,150,32,0,1.204372727,457.6852647,0.150546591
polar,0,150,150,32,0.2,1.316833426,472.1545139,0.164604178
polar,0,150,150,32,0.4,1.463289253,519.1736863,0.182911157
polar,0,150,150,32,0.6,1.388253441,482.3240644,0.17353168
polar,0,150,150,32,0.8,1.415956646,287.3673812,0.176994581
polar,0,300,150,8,0,1.18487862,18.6294464,0.296219655
polar,0,300,150,8,0.2,1.189627277,18.77507607,0.297406819
polar,0,300,150,8,0.4,1.194838906,35.63636441,0.298709727
polar,0,300,150,8,0.6,1.191703218,45.28184335,0.297925805
polar,0,300,150,8,0.8,1.250568776,87.59045388,0.312642194
polar,0,300,300,16,0,0.871910865,21.14414936,0.154133521
polar,0,300,300,16,0.2,0.872135363,21.15685044,0.154173207
polar,0,300,300,16,0.4,0.874449183,21.41156345,0.154582237
polar,0,300,300,16,0.6,0.873320381,21.16840114,0.154382691
polar,0,300,300,16,0.8,0.887386617,32.0012148,0.156869274
polar,0,150,300,64,0,0.852663837,77.21164472,0.075365548
polar,0,150,300,64,0.2,0.855129624,78.9054279,0.075583494
polar,0,150,300,64,0.4,0.869878214,102.4049847,0.076887098
polar,0,150,300,64,0.6,0.909004086,233.5139116,0.080345369
polar,0,150,300,64,0.8,1.107073379,785.2215992,0.097852387
polar,0,150,150,32,0,0.970230072,142.6371866,0.121278759
polar,0,150,150,32,0.2,0.971974786,176.1151383,0.121496848
polar,0,150,150,32,0.4,0.985992422,214.1772368,0.123249053
polar,0,150,150,32,0.6,0.988300292,243.7991774,0.123537536
polar,0,150,150,32,0.8,1.074732368,306.9877244,0.134341546
polar,0,300,300,8,0,0.91641919,15.44136778,0.229104798
polar,0,300,300,8,0.2,0.915582901,15.20160258,0.228895725
polar,0,300,300,8,0.4,0.918850522,15.35137149,0.22971263
polar,0,300,300,8,0.6,0.924453696,31.54656412,0.231113424
polar,0,300,300,8,0.8,0.919821845,32.75328178,0.229955461
polar,0,50,500,16,0,0.821520555,18.63124373,0.145225689
polar,0,50,500,16,0.2,0.827449267,18.83144766,0.146273747
polar,0,50,500,16,0.4,0.86421223,41.91010596,0.152772582
polar,0,150,150,32,0,0.998627704,159.7457906,0.124828463
polar,0,50,500,16,0.6,0.847028945,62.67975146,0.149734978
polar,0,150,150,32,0.2,1.005073639,203.0523428,0.125634205
polar,0,50,500,16,0.8,0.923460751,80.10674697,0.16324634
polar,0,150,150,32,0.4,0.997068364,221.9498255,0.124633546
polar,0,150,150,32,0.6,1.041346205,322.3417885,0.130168276
polar,0,150,150,32,0.8,1.167119598,428.0953672,0.14588995
polar,0,150,500,4,0,0.730935078,3.516421074,0.258424575
polar,0,150,500,4,0.2,0.727670535,3.47969349,0.257270385
polar,0,50,300,4,0,0.905262154,4.821705091,0.320058504
polar,0,50,300,4,0.2,0.911078364,4.914611628,0.322114845
polar,0,50,300,4,0.4,0.868713971,4.524201173,0.30713677
polar,0,50,300,4,0.6,1.009917919,24.35212191,0.357059905
polar,0,50,300,4,0.8,1.023663436,27.65106109,0.361919679
polar,0,150,500,4,0.4,0.732628088,3.523994424,0.259023144
polar,0,50,300,8,0,0.858863443,8.494616757,0.214715861
polar,0,150,500,4,0.6,0.738564891,3.579286115,0.261122121
polar,0,50,300,8,0.2,0.851360548,8.373056826,0.212840137
polar,0,50,300,8,0.4,0.84984467,8.337496737,0.212461167
polar,0,50,300,8,0.6,0.831906614,21.72601934,0.207976654
polar,0,150,500,4,0.8,0.763015498,3.812748242,0.269766716
polar,0,50,300,8,0.8,0.938280464,42.75114866,0.234570116
polar,0,150,150,32,0,1.076420284,243.0067313,0.134552535
polar,0,150,150,32,0.2,1.099121799,281.0433201,0.137390225
polar,0,150,150,32,0.4,1.098165299,303.2882227,0.137270662
polar,0,150,150,32,0.6,1.155553922,394.9015257,0.14444424
