run,state,missing,SS ratio,agents,observations,Time,RFN,KL,Inaccuracy
0,32,0.6,0,150,150,0,0.777614046,33.34354897,0.097201756
0,16,0,0,300,300,0.567813396,0.662583631,5.652531416,0.117129345
0,4,0.8,0.6,50,150,0.027553082,0.455028424,0.923494433,0.160876842
0,32,0.8,0,150,150,0.106198549,1.062532756,289.7393177,0.132816594
0,4,0.2,0.8,50,150,0,0.453733078,0.927334637,0.160418868
0,4,0.4,0.8,50,150,0.027560472,0.453733078,0.927334637,0.160418868
0,4,0.6,0,150,500,0,0.387836315,0.532199367,0.137120844
0,4,0.6,0.8,50,150,0,0.453733078,0.927334637,0.160418868
0,8,0.2,0.2,300,150,0,0.635887558,2.993403581,0.158971889
0,4,0.8,0.8,50,150,0.02604413,0.446476234,0.903751238,0.157853186
0,16,0,0,50,500,0.215164661,0.650253634,5.407355999,0.114949689
0,4,0.8,0,150,500,0.235197306,0.378745347,0.512848621,0.133906702
0,16,0.2,0,300,300,0,0.663440761,5.674082599,0.117280865
0,16,0.2,0,50,500,0,0.654323054,5.473238911,0.115669067
0,8,0.4,0.2,300,150,0.195889235,0.636658711,3.011280768,0.159164678
0,32,0.2,0.2,150,150,0,0.711432198,14.20430169,0.088929025
0,16,0.4,0,50,500,0.16342926,0.65599261,5.525589273,0.115964206
0,4,0,0,50,300,0.104292154,0.551487736,0.864612237,0.194980359
0,4,0.2,0,50,300,0,0.550294015,0.857142271,0.194558315
0,16,0.6,0,50,500,0,0.699041747,6.544367533,0.12357429
0,16,0.4,0,300,300,0.416518211,0.663334255,5.663593609,0.117262038
0,8,0.6,0.2,300,150,0,0.632738175,2.98357021,0.158184544
0,4,0.4,0,50,300,0.069679022,0.546589229,0.849108773,0.193248475
0,32,0.4,0.2,150,150,0.132884264,0.714542238,14.38816667,0.08931778
0,4,0.6,0,50,300,0,0.576298579,0.95872611,0.203752317
0,4,0.8,0,50,300,0.051604033,0.64938984,1.686438015,0.22959398
0,16,0.8,0,50,500,0.131364107,0.688133697,19.43584262,0.121646001
0,8,0.2,0.2,50,300,0,0.662537735,2.76889268,0.165634434
0,32,0.6,0.2,150,150,0,0.731033867,18.80378337,0.091379233
0,8,0.8,0.2,300,150,0.154430628,0.640922173,3.024865364,0.160230543
0,16,0.6,0,300,300,0,0.665725447,5.692416874,0.117684744
0,8,0.4,0.2,50,300,0.101873875,0.670831512,2.844249551,0.167707878
0,32,0.8,0.2,150,150,0.102233171,0.862300273,118.5787966,0.107787534
0,8,0.2,0.4,300,150,0,0.639664011,3.03997802,0.159916003
0,32,0.2,0.4,150,150,0,0.72251273,15.07905355,0.090314091
0,8,0.6,0.2,50,300,0,0.652110759,2.637662776,0.16302769
0,16,0.8,0,300,300,0.300378799,0.694839626,6.345748396,0.122831453
0,8,0.4,0.4,300,150,0.177485228,0.639664011,3.03997802,0.159916003
0,32,0.4,0.4,150,150,0.128804445,0.72251273,15.07905355,0.090314091
0,8,0.8,0.2,50,300,0.063153505,0.699073843,3.166800074,0.174768461
0,8,0.2,0.4,50,300,0,0.671389895,2.857087447,0.167847474
0,32,0.6,0.4,150,150,0,0.7345989,16.76586677,0.091824863
0,8,0.6,0.4,300,150,0,0.644541976,3.102898937,0.161135494
