run,state,missing,Time,KL,Inaccuracy,agents,observations,imputed,imputed time,EM,EM time
0,32,0.8,0.362829924,50.12576635,0.097813307,150,500,0.419788375,136.0245476,0.123521871,545.7446947
0,8,0.6,0.297215939,2.005065495,0.142417068,150,500,0.291458453,113.7998822,0.235581916,456.0441525
0,32,0,0.294879913,12.60752277,0.08578649,300,150,0.08578649,0.607633829,0.122938484,2.445658684
0,16,0.6,0.323451757,6.392937507,0.122091732,150,500,0.324628549,121.1028032,0.172390554,484.7909946
0,32,0.2,0.256547451,12.63933838,0.085698506,300,150,0.13235078,22.01563025,0.123150232,88.19184709
0,4,0.8,0.265167475,0.869086617,0.197349423,300,300,0.424667111,77.30768895,0.332651971,310.2288566
0,4,0,0.855848789,0.942241384,0.158164556,300,500,0.158164556,1.781264544,0.286194112,7.344165564
0,32,0.4,0.215747356,12.95642478,0.086700907,300,150,0.223062063,21.85166574,0.123152894,87.81754184
0,16,0.4,0.716004372,5.812495776,0.116086292,300,500,0.227466599,227.5731401,0.170166349,912.2821176
0,8,0.4,0.660719872,2.927560295,0.163285902,300,500,0.252940268,219.1027081,0.234870728,876.2088926
0,32,0.6,0.189708233,15.05740022,0.091256653,300,150,0.317379088,21.77122378,0.123250658,87.93495584
0,64,0.6,0.520606756,105.3414817,0.071399109,150,500,0.307386836,165.1832378,0.087809283,662.3098278
0,32,0.8,0.185528755,126.7992916,0.108696871,300,150,0.41845864,21.7691288,0.123614159,87.84745288
0,32,0,0.573423147,11.95888744,0.084138046,300,300,0.084138046,1.194459677,0.123071293,4.802620411
0,8,0.8,0.249254704,2.097129351,0.146402367,150,500,0.433592385,113.8875184,0.227466323,457.0298362
0,16,0.8,0.2905128,7.13135416,0.128252745,150,500,0.413561082,121.5437443,0.174061196,485.5385101
0,16,0,0.277835369,6.027932234,0.117677028,300,150,0.117677028,0.561636209,0.170955043,2.31041193
0,16,0.2,0.239643812,6.065156916,0.118035165,300,150,0.15365115,20.15482926,0.170869698,100.658783
0,16,0.4,0.194501638,5.949649032,0.117124923,300,150,0.215642055,19.94632745,0.17168139,80.02987313
0,32,0.2,0.511214733,12.05202281,0.08441627,300,300,0.133165887,87.3902998,0.122868593,346.4055955
0,16,0.6,0.170176268,6.347861819,0.120646168,300,150,0.308271485,19.94128227,0.172431512,80.23707938
0,16,0.8,0.144741535,8.476119636,0.122952117,300,150,0.404044065,19.95583248,0.17226796,80.28063655
0,32,0.8,0.575456858,17.96307641,0.092526088,300,500,0.413143173,242.6012926,0.123874223,961.5080874
0,64,0,0.111405134,217.00432,0.076769771,50,150,0.076769771,0.246280909,0.087751731,0.767470837
0,64,0.8,0.463524103,602.9190922,0.097481237,150,500,0.409553541,164.8662057,0.087941278,651.3435864
0,64,0,0.318222046,29.16095086,0.064224077,300,150,0.064224077,0.651591778,0.087786874,2.566819906
0,64,0.2,0.104287386,385.2512575,0.084514294,50,150,0.131334966,8.197194099,0.087741088,41.01931357
0,4,0.2,0.757173538,0.9421876,0.157824305,300,500,0.158700861,217.2754786,0.27546172,855.3177211
0,64,0.4,0.098683834,630.6631723,0.09902417,50,150,0.221770779,8.244303465,0.087841369,32.81845474
0,32,0.4,0.449572086,12.27832074,0.08502234,300,300,0.216560233,85.80755234,0.123179975,341.7126493
