run,agents,observations,states,loud,outliers,missing,Time,RFN,KL,Inaccuracy
0,50,500,8,min,0.1,0.4,0.236301184,0.755041498,4.01995329,0.188760375
0,50,500,4,maj,0.1,0.2,0.289407015,0.789457069,1.405477699,0.279115223
0,150,500,8,min,0.1,0,0.828673601,0.779286979,3.637201394,0.194821745
0,50,150,8,maj,0.2,0.6,0.080696106,0.76067518,3.482272099,0.190168795
0,50,150,4,maj,0.3,0.2,0.076776028,0.796753869,3.181322829,0.281695032
0,50,300,16,min,0.1,0.4,0.17856288,0.785541894,7.519254149,0.1388655
0,50,300,4,min,0.2,0,0.148926735,0.73994267,1.844462431,0.26160924
0,150,150,16,maj,0.1,0.2,0.243197441,0.816046942,8.072131963,0.144258082
0,150,300,16,min,0.1,0,0.514176846,0.805563876,7.78484258,0.14240492
0,150,300,8,min,0.1,0.6,0.3265903,0.774386876,3.615593317,0.193596719
0,150,150,8,maj,0.1,0.8,0.250750303,0.779510575,3.931295758,0.194877644
0,50,300,8,maj,0.1,0.8,0.170512199,0.778521365,3.851491293,0.194630341
0,50,150,8,maj,0.2,0.8,0.084293842,0.758550087,3.455716319,0.189637522
0,50,150,4,maj,0.3,0.4,0.074210644,0.79550753,3.104639478,0.281254384
0,150,300,4,maj,0.1,0,0.459943771,0.732396336,1.700555552,0.258941208
0,150,150,4,min,0.2,0,0.232796431,0.715279999,1.357704032,0.252889669
0,50,150,4,maj,0.3,0.6,0.068784714,0.793425576,3.151861739,0.280518303
0,50,300,4,min,0.2,0.2,0.144492149,0.738974435,1.832168923,0.261266917
0,50,500,8,min,0.1,0.6,0.232774258,0.75501459,4.031867137,0.188753647
0,300,150,8,maj,0.1,0,0.435295343,0.794821667,4.337382803,0.198705417
0,50,300,16,min,0.1,0.6,0.181573153,0.792959038,7.89393896,0.140176678
0,300,300,8,min,0.1,0.2,0.839725494,0.768979542,3.672521842,0.192244885
0,50,150,4,maj,0.3,0.8,0.06765914,0.789967886,3.157593793,0.279295824
0,50,500,4,maj,0.1,0.4,0.293401957,0.788688957,1.404259374,0.278843655
0,150,150,16,maj,0.1,0.4,0.267753839,0.814343353,8.030232666,0.143956927
0,300,150,4,maj,0.1,0.2,0.43371892,0.764296903,1.278150862,0.270219762
0,50,300,4,min,0.2,0.4,0.143316984,0.747063404,1.885226541,0.264126799
0,300,300,4,min,0.1,0.4,0.678061724,0.733312234,1.866393457,0.259265027
0,150,300,8,min,0.1,0.8,0.27175808,0.773726617,3.681589626,0.193431654
0,50,300,16,min,0.1,0.8,0.149853706,0.811392133,8.555831524,0.14343522
0,150,150,4,min,0.2,0.2,0.202474356,0.711920339,1.343397303,0.25170185
0,50,500,8,min,0.1,0.8,0.193451166,0.740807915,3.894009014,0.185201979
0,50,300,4,min,0.2,0.6,0.117789984,0.755492803,1.9249795,0.267107042
0,50,150,16,min,0.2,0,0.10185051,0.785690964,7.198785795,0.138891852
0,150,500,4,min,0.1,0.4,0.654435635,0.802570958,2.13253965,0.283751684
0,150,300,16,min,0.1,0.2,0.458343744,0.805397667,7.757684508,0.142375538
0,50,500,4,maj,0.1,0.6,0.263761282,0.785108997,1.380937325,0.277577948
0,50,300,4,min,0.2,0.8,0.10085535,0.755083543,1.930220097,0.266962347
0,150,150,16,maj,0.1,0.6,0.248744965,0.814843512,8.047928822,0.144045343
0,150,150,4,min,0.2,0.4,0.188570023,0.717608008,1.366708787,0.253712744
0,50,150,4,min,0.4,0,0.081222057,0.703371613,1.821579927,0.248679418
0,50,300,16,maj,0.1,0,0.201617241,0.77960667,7.359410181,0.137816291
0,150,300,4,maj,0.1,0.2,0.456848383,0.733145902,1.704749595,0.25920622
0,50,150,16,min,0.2,0.2,0.097261429,0.793475437,7.412711965,0.140267966
0,300,150,8,maj,0.1,0.2,0.440260649,0.795289983,4.344550734,0.198822496
0,50,150,4,min,0.4,0.2,0.074249268,0.70443638,1.798634102,0.249055871
0,50,150,16,min,0.2,0.4,0.090312958,0.794216847,7.482534415,0.14039903
0,50,150,8,min,0.3,0,0.08880353,0.762885881,3.73812377,0.19072147
0,50,500,8,maj,0.1,0,0.295934677,0.757247565,4.024955258,0.189311891
0,50,300,4,maj,0.2,0,0.162481308,0.73994267,1.844462431,0.26160924
0,50,150,4,min,0.4,0.4,0.068655014,0.706590885,1.744308852,0.249817603
0,300,500,8,min,0.1,0,1.571871996,0.81978346,4.306013967,0.204945865
0,150,500,8,min,0.1,0.2,0.739695072,0.777175087,3.624618414,0.194293772
0,150,150,4,min,0.2,0.6,0.158958197,0.712940496,1.371150146,0.25206253
0,50,150,8,min,0.3,0.2,0.081778049,0.757712113,3.63002542,0.189428028
0,50,150,16,min,0.2,0.6,0.083784819,0.81287441,8.311434754,0.143697252
0,50,150,4,min,0.4,0.6,0.062756538,0.702128917,1.702885463,0.248240059
0,300,150,4,maj,0.1,0.4,0.464947224,0.763811309,1.272026235,0.270048078
0,50,300,16,maj,0.1,0.2,0.226737261,0.779861653,7.375160477,0.137861366
0,150,150,16,maj,0.1,0.8,0.247279167,0.815380982,8.05745184,0.144140355
0,150,300,8,maj,0.1,0,0.4834764,0.776961583,3.628477346,0.194240396
0,50,500,4,maj,0.1,0.8,0.281873465,0.787210258,1.396639703,0.278320856
0,150,150,8,min,0.2,0,0.242247581,0.798187931,4.220162201,0.199546983
0,50,150,16,min,0.2,0.8,0.077670813,0.800869057,11.1087113,0.141574985
0,50,150,8,min,0.3,0.4,0.084693909,0.759873016,3.745356188,0.189968254
0,50,150,4,min,0.4,0.8,0.058130264,0.699613651,1.658989985,0.247350778
0,150,150,4,min,0.2,0.8,0.148977041,0.710243031,1.375999949,0.251108832
0,50,300,4,maj,0.2,0.2,0.169523001,0.738666419,1.841013561,0.261158017
0,300,300,4,min,0.1,0.6,0.580319881,0.734249811,1.853288235,0.25959651
0,300,300,8,min,0.1,0.4,0.701089621,0.769756842,3.66916661,0.19243921
0,50,150,8,min,0.3,0.6,0.08130002,0.751522017,3.719225475,0.187880504
0,50,150,4,maj,0.4,0,0.080802917,0.703371613,1.821579927,0.248679418
0,150,300,16,min,0.1,0.4,0.421315908,0.811197899,7.952967636,0.143400884
0,50,150,16,maj,0.2,0,0.107874393,0.785690964,7.198785795,0.138891852
0,150,500,4,min,0.1,0.6,0.512065649,0.803183026,2.164693692,0.283968082
0,50,150,8,min,0.3,0.8,0.067700386,0.749515031,3.826461469,0.187378758
0,50,500,8,maj,0.1,0.2,0.307475328,0.758463569,4.04386188,0.189615892
0,50,150,4,maj,0.4,0.2,0.07821846,0.709846821,1.921531311,0.25096875
0,150,300,4,maj,0.1,0.4,0.451406717,0.732940047,1.701715073,0.259133439
0,50,300,16,maj,0.1,0.4,0.249830961,0.780409714,7.406256576,0.13795825
0,150,150,8,min,0.2,0.2,0.217787266,0.795223544,4.17122442,0.198805886
0,50,300,4,maj,0.2,0.4,0.16814208,0.736505975,1.832682123,0.260394185
0,50,150,16,maj,0.2,0.2,0.120437384,0.785165479,7.249281685,0.138798959
0,50,150,8,maj,0.3,0,0.08433795,0.762885881,3.73812377,0.19072147
0,50,150,4,maj,0.4,0.4,0.072284698,0.705419492,1.922460187,0.249403453
