run,agents,observations,states,Time,TVD,Norm Diff,loud,outliers,missing
0,50,150,4,0.07080197334289551,0.7918132885496961,0.30478994170025264,min,0.30000000000000004,0.6000000000000001
0,150,150,16,0.09572362899780273,9.508850386726078,1.1904835361715804,maj,0.1,0.0
0,150,300,4,0.36897993087768555,0.187275152279324,0.0673104141125494,min,0.1,0.2
0,50,150,16,0.038080692291259766,12.391226369370704,1.712859382558284,maj,0.30000000000000004,0.2
0,150,150,16,0.09833908081054688,9.155811439872203,1.0466235634924947,maj,0.1,0.2
0,150,150,8,0.10743403434753418,4.006477618401182,0.7804515501131316,min,0.1,0.8
0,50,150,16,0.03207087516784668,12.457619441038652,1.6667028197547913,maj,0.30000000000000004,0.4
0,150,150,4,0.10090112686157227,1.5370081934750444,0.6515153749141325,min,0.1,0.8
0,150,300,16,0.3449521064758301,0.8005187454632564,0.07290844232556884,min,0.1,0.2
0,300,150,8,0.2803950309753418,0.3802138697351036,0.06519428205487537,min,0.1,0.4
0,150,150,16,0.09270691871643066,8.767040680190647,0.8498689829259816,maj,0.1,0.4
0,50,150,8,0.03909039497375488,5.332393310067914,1.0740027458696944,min,0.30000000000000004,0.8
0,50,150,4,0.04020881652832031,1.8534799369561252,0.745357258924141,min,0.30000000000000004,0.8
0,300,150,4,0.2874011993408203,0.1480835642859854,0.05072898628747031,min,0.1,0.4
0,50,150,16,0.030576705932617188,10.982208656858255,1.4694878045979711,maj,0.30000000000000004,0.6000000000000001
0,150,150,8,0.10489082336425781,4.006477618401182,0.7804515501131316,maj,0.1,0.0
0,150,150,4,0.10182380676269531,1.5370081934750444,0.6515153749141325,maj,0.1,0.0
0,150,150,16,0.0878293514251709,8.681743997099064,0.8737977834388471,maj,0.1,0.6000000000000001
0,50,150,8,0.04023337364196777,5.332393310067914,1.0740027458696944,maj,0.30000000000000004,0.0
0,50,150,4,0.04812312126159668,1.8534799369561252,0.745357258924141,maj,0.30000000000000004,0.0
0,50,150,16,0.030573129653930664,10.453503248659771,1.5273472339632483,maj,0.30000000000000004,0.8
0,50,150,16,0.06627964973449707,1.503493698673676,0.1405076109616288,min,0.4,0.0
0,150,150,8,0.10185503959655762,3.467929223547915,0.7096562879645871,maj,0.1,0.2
0,150,150,4,0.09735393524169922,1.426808352605889,0.601938726050809,maj,0.1,0.2
0,150,150,16,0.09172892570495605,8.676509453355155,0.8822336232294059,maj,0.1,0.8
0,150,150,16,0.191206693649292,0.8157567524242358,0.0750657728727468,min,0.2,0.0
0,50,150,8,0.04724478721618652,5.4120410425901735,1.0617689191682402,maj,0.30000000000000004,0.2
0,50,150,4,0.046114444732666016,1.7235234634650818,0.6985607584170519,maj,0.30000000000000004,0.2
0,150,150,8,0.09133648872375488,2.379708425080395,0.4921741468936415,maj,0.1,0.4
0,150,150,4,0.17057514190673828,0.9539813583792731,0.38683086233982983,maj,0.1,0.4
