Scenario,state,missing,agents,observations,inaccuracy
outlier,4,0.2,50,150,0.066377385
outlier,8,0.2,50,150,0.032487905
outlier,16,0.4,50,500,0.025137515
outlier,8,0.4,50,500,0.021168143
outlier,16,0,50,150,0.28799847
outlier,4,0.4,50,150,0.107881131
outlier,4,0.2,50,300,0.018700445
outlier,4,0.4,50,500,0.020349526
outlier,8,0.4,50,150,0.066438374
outlier,16,0.2,50,150,0.289800699
outlier,16,0.6,150,150,0.089355094
outlier,4,0.6,50,150,0.20174038
outlier,16,0.4,50,150,0.277261539
outlier,8,0.6,50,150,0.178286132
outlier,16,0.6,50,150,0.261483884
outlier,4,0.8,50,150,0.287298634
outlier,8,0.6,150,150,0.084844143
outlier,16,0.4,50,300,0.034145459
outlier,8,0.8,50,150,0.280517568
outlier,16,0.8,50,150,0.198699134
outlier,8,0.4,50,300,0.026233533
outlier,16,0,300,150,0.00975559
outlier,4,0.6,150,150,0.107985415
outlier,4,0,50,150,0.287298634
outlier,8,0,50,150,0.280517568
outlier,8,0.4,150,300,0.018676348
outlier,4,0.2,50,150,0.282176572
outlier,8,0.2,50,150,0.284115205
outlier,16,0.8,150,150,0.270132991
outlier,4,0.4,50,150,0.247564575
outlier,8,0.4,50,150,0.272978048
outlier,16,0,150,150,0.270132991
outlier,4,0.4,50,300,0.029340914
outlier,8,0.2,300,300,0.012356045
outlier,4,0.4,150,300,0.026267665
outlier,4,0.2,300,300,0.019732237
outlier,4,0.6,50,150,0.220438889
outlier,8,0.6,50,150,0.34318973
outlier,16,0.4,150,300,0.019393228
outlier,8,0.8,300,150,0.229927032
outlier,4,0.8,300,150,0.163532383
outlier,16,0.2,150,150,0.2696823
outlier,8,0.8,150,150,0.256896399
outlier,8,0.8,50,150,0.24337495
outlier,4,0.8,50,150,0.141079396
outlier,8,0,300,150,0.229927032
outlier,16,0.4,150,150,0.244165576
outlier,4,0.8,150,150,0.263930225
outlier,16,0,300,300,0.010328974
outlier,8,0,150,150,0.256896399
outlier,4,0,300,150,0.163532383
outlier,16,0.6,50,300,0.108867534
outlier,16,0,300,500,0.010125758
outlier,8,0.6,50,300,0.084632139
outlier,8,0.2,300,150,0.213539575
outlier,16,0.6,150,150,0.244627435
outlier,8,0.2,150,150,0.253041524
outlier,4,0,150,150,0.263930225
outlier,4,0.2,300,150,0.130874457
outlier,16,0.8,150,150,0.238411782
outlier,16,0,150,150,0.015115614
outlier,8,0.4,300,150,0.149434707
outlier,8,0.4,150,150,0.214752427
outlier,4,0.2,150,150,0.250063479
outlier,4,0.4,300,150,0.068123107
outlier,8,0.6,300,150,0.092323377
outlier,8,0.6,150,150,0.147037661
outlier,4,0.4,150,150,0.201207754
outlier,4,0.6,300,150,0.029175016
outlier,4,0.6,50,300,0.100204515
outlier,8,0.8,300,150,0.112963007
outlier,8,0.8,150,150,0.145709416
outlier,8,0,300,150,0.012181174
outlier,8,0,150,150,0.013706309
outlier,4,0.6,150,150,0.132840252
outlier,16,0.2,300,150,0.010775536
outlier,4,0.8,300,150,0.053367001
outlier,4,0,300,150,0.015270199
outlier,16,0.2,150,150,0.018521522
outlier,16,0.8,50,300,0.307565261
outlier,4,0.8,150,150,0.073322919
outlier,4,0,150,150,0.040999186
outlier,8,0.8,50,300,0.250492962
outlier,16,0,50,300,0.307565261
outlier,8,0,50,300,0.250492962
outlier,16,0.2,50,300,0.292415141
outlier,8,0.2,150,150,0.01651155
outlier,16,0.6,50,500,0.081704242
outlier,8,0.6,50,500,0.06218199
outlier,8,0.2,50,300,0.246167847
outlier,16,0.4,150,150,0.036927392
outlier,4,0.2,150,150,0.047983929
outlier,4,0.8,50,300,0.272787624
outlier,16,0.4,50,300,0.279615679
outlier,4,0.6,50,500,0.053226509
outlier,8,0.2,150,500,0.014465785
outlier,8,0.4,50,300,0.190320115
outlier,4,0.2,150,500,0.015456318
outlier,16,0.6,50,300,0.300574772
outlier,4,0,50,300,0.272787624
outlier,8,0.6,50,300,0.140682186
outlier,8,0.4,150,150,0.032867157
outlier,16,0.8,50,300,0.282175435
outlier,16,0,50,300,0.017321777
outlier,16,0.6,150,150,0.108936201
outlier,4,0.2,50,300,0.266730134
outlier,8,0.8,50,300,0.139619136
outlier,8,0,50,300,0.019761807
outlier,4,0.4,150,150,0.084646852
outlier,8,0.2,300,150,0.014055074
outlier,16,0.2,150,500,0.012034645
outlier,4,0.2,300,150,0.015953367
outlier,16,0.4,300,150,0.017902402
outlier,4,0.4,50,300,0.24707983
outlier,8,0.6,150,300,0.057330079
outlier,4,0.6,50,300,0.207165649
outlier,8,0.6,150,150,0.116023153
outlier,16,0.8,150,150,0.253939031
outlier,16,0.2,50,300,0.02163135
outlier,4,0.8,50,300,0.23046322
outlier,4,0,50,300,0.024551822
outlier,4,0.6,150,150,0.162077063
outlier,8,0.2,50,300,0.023949605
outlier,16,0,150,150,0.253939031
outlier,4,0.6,150,300,0.061917017
outlier,16,0.8,50,500,0.123961389
outlier,16,0.6,150,300,0.054451344
outlier,16,0.2,150,150,0.246820505
outlier,8,0.8,150,150,0.265413483
outlier,16,0,50,500,0.123961389
outlier,4,0.8,150,150,0.275634188
outlier,16,0.4,150,150,0.225737401
outlier,4,0.2,50,300,0.033094611
outlier,16,0.4,50,300,0.042500425
outlier,8,0,150,150,0.265413483
outlier,8,0.4,300,150,0.020890744
outlier,8,0.4,50,300,0.04214497
outlier,16,0.2,50,500,0.103670921
outlier,4,0,150,150,0.275634188
outlier,8,0.8,50,500,0.148214026
outlier,16,0.6,150,150,0.253549016
outlier,4,0.4,300,150,0.021576951
outlier,8,0.2,150,150,0.253770529
outlier,16,0.6,300,150,0.054827417
outlier,16,0.8,150,150,0.243667932
