run,agents,observations,states,Time,TVD,Norm Diff,missing,low
0,150,150,32,0.12491536140441895,12.565673759616782,0.8116125227461906,0.4,False
0,300,300,32,0.5542025566101074,6.671637687978477,0.4554601700604495,0.2,True
0,50,500,64,0.11083602905273438,51.06378194362582,2.4387335374234294,0.8,True
0,300,150,64,0.16359591484069824,39.13495933156595,1.465190751937696,0.6000000000000001,True
0,50,300,16,0.044718265533447266,7.1213985608020565,1.2074566275044918,0.8,True
0,300,150,4,0.1629788875579834,1.7669181059182535,0.8810322399045684,0.6000000000000001,True
0,50,300,16,0.09121942520141602,0.726348948708911,0.09211705672291032,0.0,False
0,50,500,64,0.157989501953125,9.174849240322107,0.28757849158754967,0.0,False
0,50,500,4,0.14792799949645996,0.6559590173639694,0.34822083364070605,0.2,False
0,300,500,16,1.0006341934204102,0.23696418965524385,0.030128873869745325,0.0,True
